"vertex_name","lasso_coef","asym_him_coef","asym_mip_coef","mip_coef","him_coef"
"vertex671",0,0,0,0,0
"vertex672",0,0,0,0,0
"vertex673",0,0,0,0,0
"vertex674",0,0,0,0,0
"vertex675",0,0,0,0,0
"vertex676",0,0,0,0,0
"vertex677",0,0,0,0,0
"vertex678",0,0,0,0,0
"vertex679",0,0,0,0,0
"vertex680",0,0,0,0,0
"vertex681",0,0,0,0,0
"vertex682",0,0,0,0,0
"vertex683",0,0,0,0,0
"vertex684",0,0,0,0,0
"vertex685",0,0,0,0,0
"vertex686",0,0,0,0,0
"vertex687",0,0,0,0,0
"vertex688",0,0,0,0,0
"vertex689",0,0,0,0,0
"vertex690",0,0,0,0,0
"vertex691",0,0,0,0,0
"vertex692",0,0,0,0,0
"vertex693",0,0,0,0,0
"vertex694",0,0,0,0,0
"vertex695",0,0,0,0,0
"vertex696",0,0,0,0,0
"vertex697",0,0,0,0,0
"vertex698",0,0,0,0,0
"vertex699",0,0,0,0,0
"vertex700",0,0,0,0,0
"vertex701",0,0,0,0,0
"vertex702",0,0,0,0,0
"vertex703",0,0,0,0,0
"vertex704",0,0,0,0,0
"vertex705",0,0,0,0,0
"vertex706",0,0,0,0,0
"vertex707",0,0,0,0,0
"vertex708",0,0,0,0,0
"vertex709",0,0,0,0,0
"vertex710",0,0,0,0,0
"vertex711",0,0,0,0,0
"vertex712",0,0,0,0,0
"vertex713",0,0,0,0,0
"vertex714",0,0,0,0,0
"vertex715",0,0,0,0,0
"vertex716",0,0,0,0,0
"vertex717",0,0,0,0,0
"vertex718",0,0,0,0,0
"vertex719",0,0,0,0,0
"vertex720",0,0,0,0,0
"vertex721",0,0,0,0,0
"vertex722",0,0,0,0,0
"vertex723",0,0,0,0,0
"vertex724",0,0,0,0,0
"vertex725",0,0,0,0,0
"vertex726",0,0,0,0,0
"vertex727",0,0,0,0,0
"vertex728",0,0,0,0,0
"vertex729",0,0,0,0,0
"vertex730",0,0,0,0,0
"vertex731",0,0,0,0,0
"vertex732",0,0,0,0,0
"vertex733",0,0,0,0,0
"vertex734",0,0,0,0,0
"vertex735",0,0,0,0,0
"vertex736",0,0,0,0,0
"vertex737",0,0,0,0,0
"vertex738",0,0,0,0,0
"vertex739",0,0,0,-0.0587649881379812,-0.0587649881379812
"vertex740",0,0,0,0,0
"vertex741",0,0,0,0,0
"vertex742",0,0,0,0,0
"vertex743",0,0,0,0,0
"vertex744",0,0,0,0,0
"vertex745",0,0,0,0,0
"vertex746",0,0,0,0,0
"vertex747",0,0,0,0,0
"vertex748",0,0,0,0,0
"vertex749",0,0,0,0,0
"vertex750",0,0,0,0,0
"vertex751",0,0,0,0,0
"vertex752",0,0,0,0,0
"vertex753",0,0,0,0,0
"vertex754",0,0,0,0,0
"vertex755",0,0,0,0,0
"vertex756",0,0,0,0,0
"vertex757",0,0,0,0,0
"vertex758",0,0,0,0,0
"vertex759",0,0,0,0,0
"vertex760",0,0,0,0,0
"vertex761",0,0,0,0,0
"vertex762",0,0,0,0,0
"vertex763",0,0,0,0,0
"vertex764",0,0,0,0,0
"vertex765",0,0,0,0,0
"vertex766",0,0,0,0,0
"vertex767",0,0,0,0,0
"vertex768",0,0,0,0,0
"vertex769",0,0,0,0,0
"vertex770",0,0,0,0,0
"vertex771",0,0,0,0,0
"vertex772",0,0,0,0,0
"vertex773",0,0,0,0,0
"vertex774",0,0,0,0,0
"vertex775",0,0,0,0,0
"vertex776",0,0,0,0,0
"vertex777",0,0,0,0,0
"vertex778",0,0,0,0,0
"vertex779",0,0,0,0,0
"vertex780",0,0,0,0,0
"vertex781",0,0,0,0,0
"vertex782",0,0,0,0,0
"vertex783",0,0,0,0,0
"vertex784",0,0,0,0,0
"vertex785",0,0,0,0,0
"vertex786",0,0,0,0,0
"vertex787",0,0,0,0,0
"vertex788",0,0,0,0,0
"vertex789",0,0,0,0,0
"vertex790",0,0,0,0,0
"vertex791",0,0,0,0,0
"vertex792",0,0,0,0,0
"vertex793",0,0,0,0,0
"vertex794",0,0,0,0,0
"vertex795",0,0,0,0,0
"vertex796",0,0,0,0,0
"vertex797",0,0,0,0,0
"vertex798",0,0,0,0,0
"vertex799",0,0,0,0,0
"vertex800",0,0,0,0,0
"vertex801",0,0,0,0,0
"vertex802",0,0,0,0,0
"vertex803",0,0,0,0,0
"vertex804",0,0,0,0,0
"vertex805",0,0,0,0,0
"vertex806",0,0,0,0,0
"vertex807",0,0,0,0,0
"vertex808",0,0,0,0,0
"vertex809",0,0,0,0,0
"vertex810",0,0,0,0,0
"vertex811",0,0,0,0,0
"vertex812",0,0,0,0,0
"vertex813",0,0,0,0,0
"vertex814",0,0,0,0,0
"vertex815",0,0,0,0,0
"vertex816",0,0,0,0,0
"vertex817",0,0,0,0,0
"vertex818",0.0982703419363157,0,0,0,0
"vertex819",0,0,0,0,0
"vertex820",0,0,0,0,0
"vertex821",0,0,0,0,0
"vertex822",0,0,0,0,0
"vertex823",0,-0.0246962687555037,0,0,0
"vertex824",0,0,0,0,0
"vertex825",0,0,0,0,0
"vertex826",0,0,0,0,0
"vertex827",0,0,0,0,0
"vertex828",0,0,0,0,0
"vertex829",0,0,0,0,0
"vertex830",0,0,0,0,0
"vertex831",0,0,0,0,0
"vertex832",0,0,0,0,0
"vertex833",0,0,0,0,0
"vertex834",0,0,0,0,0
"vertex835",0,0,0,0,0
"vertex836",0,0,0,0,0
"vertex837",0,0,0,0,0
"vertex838",0,0,0,0,0
"vertex839",0,0,0,0,0
"vertex840",0,0,0,0,0
"vertex841",0,0,0,0,0
"vertex842",0,0,0,0,0
"vertex843",0,0,0,0,0
"vertex844",0,0,0,0,0
"vertex845",0,0,0,0,0
"vertex846",0,0,0,0,0
"vertex847",0,0,0,0,0
"vertex848",0,0,0,0,0
"vertex849",0,0,0,0,0
"vertex850",0,0,0,0,0
"vertex851",0,0,0,0,0
"vertex852",0,0,0,0,0
"vertex853",0,0,0,0,0
"vertex854",0,0,0,0,0
"vertex855",0,0,0,0,0
"vertex856",0,0,0,0,0
"vertex857",0,0,0,0,0
"vertex858",0,0,0,0,0
